Q1,Q2,Q3,Q4,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9
0.898946,-0.188544,-0.243954,-0.311183,1.5,2.1,1.41,1.66,1.15,1.1,2.31,1.79,1.52,1.71
0.896129,-0.189166,-0.246748,-0.316678,1.5,2.11,1.4,1.66,1.14,1.1,2.31,1.79,1.52,1.71
0.892867,-0.190461,-0.250132,-0.322409,1.49,2.11,1.4,1.65,1.14,1.1,2.3,1.78,1.53,1.71
0.888948,-0.191729,-0.253972,-0.329409,1.49,2.11,1.4,1.66,1.13,1.1,2.31,1.79,1.53,1.71
0.886292,-0.191893,-0.25651,-0.334465,1.49,2.11,1.4,1.66,1.13,1.09,2.3,1.78,1.53,1.71
0.882036,-0.192637,-0.260068,-0.342445,1.49,2.11,1.4,1.66,1.13,1.1,2.31,1.78,1.53,1.71
0.87657,-0.193462,-0.263923,-0.352906,1.49,2.11,1.4,1.65,1.12,1.09,2.3,1.78,1.53,1.7
0.874016,-0.193939,-0.265716,-0.357602,1.48,2.11,1.39,1.65,1.12,1.09,2.3,1.78,1.53,1.7
0.868493,-0.194874,-0.269572,-0.367525,1.47,2.11,1.39,1.65,1.11,1.09,2.3,1.78,1.53,1.7
0.862896,-0.195591,-0.273514,-0.377287,1.47,2.11,1.39,1.65,1.11,1.09,2.3,1.78,1.53,1.7
0.859441,-0.195904,-0.275256,-0.383689,1.47,2.11,1.39,1.65,1.1,1.09,2.3,1.78,1.53,1.7
0.855681,-0.19548,-0.276831,-0.391104,1.47,2.11,1.39,1.65,1.11,1.09,2.3,1.78,1.53,1.7
0.852157,-0.195515,-0.27804,-0.397865,1.47,2.11,1.39,1.65,1.11,1.08,2.3,1.78,1.53,1.7
0.847274,-0.195694,-0.279794,-0.406874,1.47,2.11,1.39,1.65,1.11,1.08,2.3,1.78,1.53,1.7
0.843958,-0.195815,-0.281281,-0.412641,1.47,2.11,1.39,1.65,1.11,1.09,2.3,1.78,1.53,1.7
0.840159,-0.1958,-0.28337,-0.418923,1.47,2.11,1.39,1.65,1.11,1.09,2.3,1.78,1.53,1.7
0.837614,-0.195759,-0.285033,-0.422891,1.47,2.11,1.39,1.65,1.11,1.09,2.3,1.78,1.53,1.71
0.833918,-0.195797,-0.287656,-0.428367,1.47,2.11,1.39,1.65,1.12,1.09,2.3,1.78,1.53,1.71
0.828759,-0.196116,-0.291558,-0.435535,1.47,2.11,1.4,1.65,1.13,1.09,2.3,1.78,1.53,1.71
0.824714,-0.196318,-0.294458,-0.441135,1.47,2.11,1.4,1.65,1.13,1.09,2.3,1.78,1.53,1.71
0.820803,-0.195504,-0.296903,-0.447112,1.47,2.11,1.4,1.65,1.14,1.09,2.3,1.78,1.53,1.72
0.819637,-0.195173,-0.298158,-0.448558,1.47,2.11,1.4,1.65,1.14,1.1,2.3,1.78,1.53,1.72
